,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
58,Poonamallee,13.0781151,80.2463768,Parfait 3,13.080339320743917,80.24403260160167,Café
59,Poonamallee,13.0781151,80.2463768,Baskin Robbins,13.083385159201107,80.24340640418941,Ice Cream Shop
60,Poonamallee,13.0781151,80.2463768,Murugan Idli Kadai,13.081294765256914,80.24801347551893,Indian Restaurant
61,Poonamallee,13.0781151,80.2463768,Sangam Cinemas,13.078769703051144,80.2493523706686,Multiplex
62,Poonamallee,13.0781151,80.2463768,Reliance Footprint,13.078083279636214,80.24715262942259,Shoe Store
63,Poonamallee,13.0781151,80.2463768,KFC,13.08576637764831,80.24787680796085,Fast Food Restaurant
64,Poonamallee,13.0781151,80.2463768,Vaishnava,13.081923686310606,80.24881333044016,Fast Food Restaurant
65,Poonamallee,13.0781151,80.2463768,cafe coffee day,13.083588613740698,80.24005753093779,Coffee Shop
66,Poonamallee,13.0781151,80.2463768,Hotel Raaj Bhavan,13.082356452941895,80.24959564208984,South Indian Restaurant
67,Poonamallee,13.0781151,80.2463768,Guest Chats,13.077345334088156,80.24079266077075,Indian Restaurant
68,Poonamallee,13.0781151,80.2463768,National Lodge - Meals,13.08025030389306,80.25425802380464,Indian Restaurant
69,Poonamallee,13.0781151,80.2463768,Kebab Street,13.080101760050606,80.23869071707435,Indian Restaurant
70,Poonamallee,13.0781151,80.2463768,Bombay Halwa House,13.078529449085112,80.25259000483213,Indian Restaurant
71,Poonamallee,13.0781151,80.2463768,99°F Fitness Studio,13.082247195650355,80.24121162612293,Gym / Fitness Center
72,Poonamallee,13.0781151,80.2463768,Health and Glow,13.083120899157453,80.2410540387333,Cosmetics Shop
73,Poonamallee,13.0781151,80.2463768,Palimar Juice Shop,13.072637,80.252335,Juice Bar
74,Poonamallee,13.0781151,80.2463768,Bombay Halwa House,13.085313066620287,80.24511141997272,Indian Restaurant
75,Poonamallee,13.0781151,80.2463768,Mummy Daddy,13.083494905680435,80.23985060435557,Department Store
76,Poonamallee,13.0781151,80.2463768,Kovai Pazhamudhir Nilayam,13.086292485542893,80.24953204998374,Sandwich Place
77,Poonamallee,13.0781151,80.2463768,Ashok Pan House,13.081238748592972,80.25476980701039,Sandwich Place
78,Poonamallee,13.0781151,80.2463768,Udipi Hotel Sudha,13.079121976773635,80.2555483649,Indian Restaurant
79,Anakaputhur ,12.9806162,80.1297551,Adyar Anandha Bhavan,12.97561,80.132582,South Indian Restaurant
80,Anakaputhur ,12.9806162,80.1297551,Pammal Bus Stop,12.97515669753834,80.13268227657213,Bus Station
81,Anakaputhur ,12.9806162,80.1297551,Expresss Avenue Mall,12.977820071862986,80.12393091625574,Plaza
82,Anakaputhur ,12.9806162,80.1297551,Apoorva Supermarket,12.97484,80.134005,Market
83,Anakaputhur ,12.9806162,80.1297551,Axis Bank ATM,12.98786,80.12926,ATM
84,Anakaputhur ,12.9806162,80.1297551,Sree Gupta Bhavan,12.974615,80.1351,Vegetarian / Vegan Restaurant
85,Anakaputhur ,12.9806162,80.1297551,More Supermarket,12.974256,80.135079,Department Store
